col,Class,Clip,Label
0,Cow,4-213915-C.ogg,14
1,Rain,3-157149-A.ogg,37
2,Church bells,3-98869-A.ogg,9
3,Can opening,4-264453-A.ogg,4
4,Hen,4-234879-A.ogg,30
5,Dog,1-85362-A.ogg,19
6,Footsteps,2-209476-A.ogg,25
7,Cat,1-47819-B.ogg,6
8,Wind,3-136608-A.ogg,50
9,Sneezing,5-220027-A.ogg,42
10,Drinking - sipping,5-207836-A.ogg,22
11,Chainsaw,3-118657-A.ogg,7
12,Pig,5-103420-A.ogg,35
13,Snoring,5-234145-A.ogg,43
14,Car horn,3-155130-A.ogg,5
15,Clapping,3-138114-A.ogg,10
16,Dog,5-208030-A.ogg,19
17,Engine,3-154758-A.ogg,23
18,Rain,2-73027-A.ogg,37
19,Car horn,4-175846-A.ogg,5
20,Engine,5-209992-A.ogg,23
21,Crackling fire,5-186924-A.ogg,15
22,Chainsaw,2-68391-B.ogg,7
23,Pig,4-147240-B.ogg,35
24,Helicopter,4-175000-B.ogg,29
25,Fireworks,2-117615-C.ogg,24
26,Snoring,2-114609-B.ogg,43
27,Coughing,1-52266-A.ogg,13
28,Dog,3-180256-A.ogg,19
29,Drinking - sipping,5-243036-A.ogg,22
30,Rooster,1-40730-A.ogg,38
31,Hen,5-248341-B.ogg,30
32,Fireworks,4-119648-C.ogg,24
33,Siren,4-111671-B.ogg,41
34,Drinking - sipping,2-102581-A.ogg,22
35,Insects (flying),4-133895-A.ogg,31
36,Airplane,1-11687-A.ogg,1
37,Snoring,4-180337-A.ogg,43
38,Keyboard typing,2-118459-A.ogg,32
39,Insects (flying),4-182314-A.ogg,31
40,Crow,3-127890-C.ogg,17
41,Keyboard typing,3-125548-A.ogg,32
42,Chirping birds,1-38560-A.ogg,8
43,Mouse click,5-223317-A.ogg,34
44,Rooster,3-145382-A.ogg,38
45,Water drops,1-50623-A.ogg,49
46,Washing machine,4-218199-H.ogg,48
47,Sheep,2-119161-C.ogg,40
48,Rooster,5-200334-A.ogg,38
49,Breathing,4-210000-B.ogg,2
50,Snoring,1-27405-A.ogg,43
51,Cat,2-82274-A.ogg,6
52,Cow,2-103423-A.ogg,14
53,Engine,1-50661-A.ogg,23
54,Helicopter,1-181071-A.ogg,29
55,Pig,3-253084-D.ogg,35
56,Fireworks,3-119120-E.ogg,24
57,Brushing teeth,5-212050-A.ogg,3
58,Crow,4-173865-B.ogg,17
59,Pouring water,1-50625-A.ogg,36
60,Helicopter,3-150979-C.ogg,29
61,Airplane,2-160888-A.ogg,1
62,Cow,5-242492-A.ogg,14
63,Airplane,5-215447-A.ogg,1
64,Insects (flying),4-143118-A.ogg,31
65,Glass breaking,2-173618-A.ogg,27
66,Snoring,5-235893-A.ogg,43
67,Rain,3-157615-A.ogg,37
68,Hen,4-204830-A.ogg,30
69,Footsteps,4-117627-A.ogg,25
70,Wind,3-136608-A.ogg,50
71,Door - wood creaks,2-70367-A.ogg,20
72,Helicopter,2-188822-D.ogg,29
73,Church bells,4-147657-A.ogg,9
74,Crackling fire,3-157187-A.ogg,15
75,Rooster,5-234879-A.ogg,38
76,Frog,3-70962-B.ogg,26
77,Brushing teeth,3-126391-B.ogg,3
78,Crying baby,1-211527-C.ogg,18
79,Mouse click,4-201300-A.ogg,34
80,Helicopter,3-68630-C.ogg,29
81,Wind,3-246513-B.ogg,50
82,Rain,1-17367-A.ogg,37
83,Frog,1-15689-B.ogg,26
84,Wind,4-144083-A.ogg,50
85,Cat,3-95698-A.ogg,6
86,Crackling fire,4-182369-A.ogg,15
87,Clapping,1-105224-A.ogg,10
88,Church bells,5-198373-A.ogg,9
89,Engine,2-78651-A.ogg,23
90,Mouse click,2-146877-B.ogg,34
91,Pouring water,2-126433-A.ogg,36
92,Mouse click,2-138257-A.ogg,34
93,Toilet flush,4-126046-A.ogg,45
